Category,Project,Repository URL
Simulation,PyPSA-Eur,https://github.com/PyPSA/pypsa-eur
Simulation,PyPSA,https://github.com/PyPSA/PyPSA
Simulation,REISE.jl,https://github.com/Breakthrough-Energy/REISE.jl
Simulation,TEASER,https://github.com/RWTH-EBC/TEASER
Simulation,VILLAScontroller,https://git.rwth-aachen.de/acs/public/villas/controller
Simulation,VILLASdataprocessing,https://git.rwth-aachen.de/acs/public/villas/dataprocessing
Simulation,VILLASfpga,https://git.rwth-aachen.de/acs/public/villas/fpga/fpga
Simulation,VILLASweb,https://git.rwth-aachen.de/acs/public/villas/web
Simulation,renpass,https://github.com/fraukewiese/renpass
State Estimation,Distribution System State Estimator (DSSE),https://git.rwth-aachen.de/acs/public/automation/dsse
State Estimation,pyVolt,https://git.rwth-aachen.de/acs/public/automation/se/pyvolt
