repository,project_name,category,scorecard_aggregate,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities,criticality_score,repo_language,repo_license,repo_stars,repo_created_at,repo_updated_at,criticality_created_since,criticality_updated_since,criticality_contributor_count,criticality_org_count,criticality_commit_frequency,criticality_recent_release_count,criticality_updated_issues_count,criticality_closed_issues_count,criticality_issue_comment_frequency,criticality_github_mention_count,repo_name,repo_owner,repo_project,has_scorecard,has_criticality,has_both,scorecard_category,criticality_category,risk_assessment
https://github.com/CalebBell/thermo,thermo,Other,2.3,10.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.39064,Python,MIT License,701.0,2016-07-01T16:02:55Z,2025-03-16T21:25:04Z,112.0,6.0,14.0,3.0,3.5,2.0,0.0,0.0,0.0,31.0,CalebBell/thermo,CalebBell,thermo,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/CalebBell/thermo,thermo,Other,2.3,10.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.39064,Python,MIT License,701.0,2016-07-01T16:02:55Z,2025-03-16T21:25:04Z,112.0,6.0,14.0,3.0,3.5,2.0,0.0,0.0,0.0,31.0,CalebBell/thermo,CalebBell,thermo,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/CenterForTheBuiltEnvironment/clima,CBE Clima Tool,Other,4.5,10.0,3.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,1.0,0.0,0.0,,0.0,9.0,0.33221,Python,MIT License,71.0,2020-10-18T19:45:10Z,2025-08-21T01:27:08Z,60.0,1.0,13.0,3.0,1.6,0.0,0.0,0.0,0.0,6.0,CenterForTheBuiltEnvironment/clima,CenterForTheBuiltEnvironment,clima,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/CenterForTheBuiltEnvironment/comfort_tool,comfort_tool,Other,4.3,10.0,3.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,0.0,0.3704,JavaScript,Other,99.0,2013-04-23T17:41:59Z,2025-08-20T03:58:43Z,151.0,1.0,16.0,6.0,0.4,0.0,0.0,0.0,0.0,10.0,CenterForTheBuiltEnvironment/comfort_tool,CenterForTheBuiltEnvironment,comfort_tool,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/DemandRegioTeam/disaggregator,disaggregator,Other,3.1,10.0,5.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0,0.2841,Jupyter Notebook,GNU General Public License v3.0,33.0,2019-10-16T09:06:28Z,2021-11-26T13:57:49Z,72.0,46.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,DemandRegioTeam/disaggregator,DemandRegioTeam,disaggregator,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/DuraMAT/pv-terms,pv-terms,Other,2.9,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,9.0,0.26442,Python,"BSD 3-Clause ""New"" or ""Revised"" License",16.0,2020-03-13T13:05:13Z,2020-08-03T18:19:48Z,67.0,62.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,DuraMAT/pv-terms,DuraMAT,pv-terms,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/ECSHackWeek/impedance.py,impedance.py,Other,4.2,10.0,6.0,0.0,0.0,5.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,,0.0,7.0,0.39818,Python,MIT License,257.0,2018-05-16T22:03:56Z,2024-09-12T03:35:41Z,89.0,12.0,26.0,7.0,0.0,2.0,0.0,0.0,0.0,19.0,ECSHackWeek/impedance.py,ECSHackWeek,impedance.py,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/ECSIM/gopem,gopem,Other,4.3,10.0,3.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.31434,Python,MIT License,39.0,2018-08-26T17:59:31Z,2024-03-16T16:35:45Z,86.0,18.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,ECSIM/gopem,ECSIM,gopem,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/ECSIM/opem,OPEM,Other,4.2,10.0,3.0,0.0,0.0,9.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.34891,Python,MIT License,221.0,2017-12-15T15:15:01Z,2024-03-16T15:51:16Z,95.0,18.0,11.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,ECSIM/opem,ECSIM,opem,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/EDF-TREE/BuildSysPro,BuildSysPro,Other,1.4,8.0,0.0,,0.0,0.0,10.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,0.0,,0.0,0.32725,Modelica,Other,44.0,2016-01-29T12:43:53Z,2025-01-16T14:18:48Z,117.0,8.0,8.0,3.0,0.08,1.0,0.0,0.0,0.0,4.0,EDF-TREE/BuildSysPro,EDF-TREE,BuildSysPro,True,True,True,Very Poor (0-2),Low (0.2-0.4),Standard
https://github.com/EMLab/emlab-generation,emlab-generation,Modeling,2.6,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,10.0,0.23344,Java,,24.0,2012-11-26T12:27:08Z,2018-08-15T11:39:37Z,156.0,86.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,EMLab/emlab-generation,EMLab,emlab-generation,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
