repository,default_score,repo_name,owner,project,score_category
https://github.com/nealde/Ampere,0.2034,nealde/Ampere,nealde,Ampere,Low (0.1-0.3)
https://github.com/RWTH-EBC/AixLib,0.46212,RWTH-EBC/AixLib,RWTH-EBC,AixLib,Medium (0.3-0.5)
https://github.com/leonardgoeke/AnyMOD.jl,0.31229,leonardgoeke/AnyMOD.jl,leonardgoeke,AnyMOD.jl,Medium (0.3-0.5)
https://github.com/AntaresSimulatorTeam/Antares_Simulator,0.46824,AntaresSimulatorTeam/Antares_Simulator,AntaresSimulatorTeam,Antares_Simulator,Medium (0.3-0.5)
https://github.com/PyPSA/atlite,0.41998,PyPSA/atlite,PyPSA,atlite,Medium (0.3-0.5)
https://github.com/BEMRosetta/BEMRosetta,0.27593,BEMRosetta/BEMRosetta,BEMRosetta,BEMRosetta,Low (0.1-0.3)
https://github.com/HIT2GAP-EU-PROJECT/bemserver,0.26119,HIT2GAP-EU-PROJECT/bemserver,HIT2GAP-EU-PROJECT,bemserver,Low (0.1-0.3)
https://github.com/LBNL-UCB-STI/beam,0.48608,LBNL-UCB-STI/beam,LBNL-UCB-STI,beam,Medium (0.3-0.5)
https://github.com/LBNL-JCI-ICF/better,0.25051,LBNL-JCI-ICF/better,LBNL-JCI-ICF,better,Low (0.1-0.3)
https://github.com/PV-Lab/BayesProcess,0.20528,PV-Lab/BayesProcess,PV-Lab,BayesProcess,Low (0.1-0.3)
https://github.com/BrickSchema/Brick,0.41478,BrickSchema/Brick,BrickSchema,Brick,Medium (0.3-0.5)
https://github.com/SNL-WaterPower/CACTUS,0.2838,SNL-WaterPower/CACTUS,SNL-WaterPower,CACTUS,Low (0.1-0.3)
https://github.com/UdK-VPT/BuildingSystems,0.38062,UdK-VPT/BuildingSystems,UdK-VPT,BuildingSystems,Medium (0.3-0.5)
https://github.com/EDF-TREE/BuildSysPro,0.32725,EDF-TREE/BuildSysPro,EDF-TREE,BuildSysPro,Medium (0.3-0.5)
https://github.com/cim-iec/CIMverter,0.24362,cim-iec/CIMverter,cim-iec,CIMverter,Low (0.1-0.3)
https://github.com/YoungFaithful/CapacityExpansion.jl,0.32993,YoungFaithful/CapacityExpansion.jl,YoungFaithful,CapacityExpansion.jl,Medium (0.3-0.5)
https://github.com/CenterForTheBuiltEnvironment/clima,0.33221,CenterForTheBuiltEnvironment/clima,CenterForTheBuiltEnvironment,clima,Medium (0.3-0.5)
https://github.com/WMD-group/CarrierCapture.jl,0.37845,WMD-group/CarrierCapture.jl,WMD-group,CarrierCapture.jl,Medium (0.3-0.5)
https://github.com/LibreSolar/charge-controller-firmware,0.30662,LibreSolar/charge-controller-firmware,LibreSolar,charge-controller-firmware,Medium (0.3-0.5)
https://github.com/mancellin/capytaine,0.43525,mancellin/capytaine,mancellin,capytaine,Medium (0.3-0.5)
https://github.com/intelligent-environments-lab/CityLearn,0.39657,intelligent-environments-lab/CityLearn,intelligent-environments-lab,CityLearn,Medium (0.3-0.5)
https://github.com/architecture-building-systems/CityEnergyAnalyst,0.54567,architecture-building-systems/CityEnergyAnalyst,architecture-building-systems,CityEnergyAnalyst,High (0.5-0.7)
https://github.com/com-pas/compas-core,0.37052,com-pas/compas-core,com-pas,compas-core,Medium (0.3-0.5)
https://github.com/oemof/DHNx,0.33561,oemof/DHNx,oemof,DHNx,Medium (0.3-0.5)
https://github.com/Azure/opendigitaltwins-energygrid,0.28509,Azure/opendigitaltwins-energygrid,Azure,opendigitaltwins-energygrid,Low (0.1-0.3)
https://github.com/IEA-Task-43/digital_wra_data_standard,0.39428,IEA-Task-43/digital_wra_data_standard,IEA-Task-43,digital_wra_data_standard,Medium (0.3-0.5)
https://github.com/energy-modelling-toolkit/Dispa-SET,0.37889,energy-modelling-toolkit/Dispa-SET,energy-modelling-toolkit,Dispa-SET,Medium (0.3-0.5)
https://github.com/ropensci/eia,0.36549,ropensci/eia,ropensci,eia,Medium (0.3-0.5)
https://github.com/EnergyTransition/ESDL,0.33283,EnergyTransition/ESDL,EnergyTransition,ESDL,Medium (0.3-0.5)
https://github.com/SanPen/ESIOS,0.2441,SanPen/ESIOS,SanPen,ESIOS,Low (0.1-0.3)
https://github.com/grid-parity-exchange/Egret,0.36895,grid-parity-exchange/Egret,grid-parity-exchange,Egret,Medium (0.3-0.5)
https://github.com/OSUKED/ElexonDataPortal,0.25741,OSUKED/ElexonDataPortal,OSUKED,ElexonDataPortal,Low (0.1-0.3)
https://github.com/openenergymonitor/EmonLib,0.338,openenergymonitor/EmonLib,openenergymonitor,EmonLib,Medium (0.3-0.5)
https://github.com/emoncms/emoncms,0.53168,emoncms/emoncms,emoncms,emoncms,High (0.5-0.7)
https://github.com/Energy-Innovation/eps-us,0.34368,Energy-Innovation/eps-us,Energy-Innovation,eps-us,Medium (0.3-0.5)
https://github.com/quintel/etengine,0.44472,quintel/etengine,quintel,etengine,Medium (0.3-0.5)
https://github.com/calliope-project/euro-calliope,0.34176,calliope-project/euro-calliope,calliope-project,euro-calliope,Medium (0.3-0.5)
https://github.com/FlexiGIS/FlexiGIS,0.30513,FlexiGIS/FlexiGIS,FlexiGIS,FlexiGIS,Medium (0.3-0.5)
https://github.com/FZJ-IEK3-VSA/glaes,0.30688,FZJ-IEK3-VSA/glaes,FZJ-IEK3-VSA,glaes,Medium (0.3-0.5)
https://github.com/GridProtectionAlliance/gsf,0.46527,GridProtectionAlliance/gsf,GridProtectionAlliance,gsf,Medium (0.3-0.5)
https://github.com/lanl-ansi/GasModels.jl,0.41548,lanl-ansi/GasModels.jl,lanl-ansi,GasModels.jl,Medium (0.3-0.5)
https://github.com/GenXProject/GenX,0.40158,GenXProject/GenX,GenXProject,GenX,Medium (0.3-0.5)
https://github.com/SmartTensors/GeoThermalCloud.jl,0.31929,SmartTensors/GeoThermalCloud.jl,SmartTensors,GeoThermalCloud.jl,Medium (0.3-0.5)
https://github.com/niclasmattsson/GlobalEnergyGIS,0.22499,niclasmattsson/GlobalEnergyGIS,niclasmattsson,GlobalEnergyGIS,Low (0.1-0.3)
https://github.com/signals-dev/GreenGuard,0.28045,signals-dev/GreenGuard,signals-dev,GreenGuard,Low (0.1-0.3)
https://github.com/gridsingularity/gsy-e,0.43945,gridsingularity/gsy-e,gridsingularity,gsy-e,Medium (0.3-0.5)
https://github.com/rte-france/Grid2Op,0.41256,rte-france/Grid2Op,rte-france,Grid2Op,Medium (0.3-0.5)
https://github.com/SanPen/GridCal,0.42969,SanPen/GridCal,SanPen,GridCal,Medium (0.3-0.5)
https://github.com/slacgismo/gridlabd,0.34457,slacgismo/gridlabd,slacgismo,gridlabd,Medium (0.3-0.5)
https://github.com/blue-marble/gridpath,0.38059,blue-marble/gridpath,blue-marble,gridpath,Medium (0.3-0.5)
https://github.com/upb-lea/gym-electric-motor,0.37379,upb-lea/gym-electric-motor,upb-lea,gym-electric-motor,Medium (0.3-0.5)
https://github.com/robinhenry/gym-anm,0.34839,robinhenry/gym-anm,robinhenry,gym-anm,Medium (0.3-0.5)
https://github.com/YingyiLiu/HAMS,0.30651,YingyiLiu/HAMS,YingyiLiu,HAMS,Medium (0.3-0.5)
https://github.com/FZJ-IEK3-VSA/HIM,0.25545,FZJ-IEK3-VSA/HIM,FZJ-IEK3-VSA,HIM,Low (0.1-0.3)
https://github.com/EcotopeResearch/HPWHsim,0.39654,EcotopeResearch/HPWHsim,EcotopeResearch,HPWHsim,Medium (0.3-0.5)
https://github.com/NREL/hescore-hpxml,0.34509,NREL/hescore-hpxml,NREL,hescore-hpxml,Medium (0.3-0.5)
https://github.com/FZJ-IEK3-VSA/HiSim,0.37386,FZJ-IEK3-VSA/HiSim,FZJ-IEK3-VSA,HiSim,Medium (0.3-0.5)
https://github.com/HotMaps/Hotmaps-toolbox-service,0.31672,HotMaps/Hotmaps-toolbox-service,HotMaps,Hotmaps-toolbox-service,Medium (0.3-0.5)
https://github.com/hyphae/APIS,0.32491,hyphae/APIS,hyphae,APIS,Medium (0.3-0.5)
https://github.com/open-ideas/IDEAS,0.47953,open-ideas/IDEAS,open-ideas,IDEAS,Medium (0.3-0.5)
https://github.com/IEAWindTask37/IEA-15-240-RWT,0.35596,IEAWindTask37/IEA-15-240-RWT,IEAWindTask37,IEA-15-240-RWT,Medium (0.3-0.5)
https://github.com/beanit/iec61850bean,0.30237,beanit/iec61850bean,beanit,iec61850bean,Medium (0.3-0.5)
https://github.com/NREL/Industry-Energy-Tool,0.23331,NREL/Industry-Energy-Tool,NREL,Industry-Energy-Tool,Low (0.1-0.3)
https://github.com/PerovskiteSCModelling/IonMonger,0.21907,PerovskiteSCModelling/IonMonger,PerovskiteSCModelling,IonMonger,Low (0.1-0.3)
https://github.com/NREL-SIIP/InfrastructureSystems.jl,0.44788,NREL-SIIP/InfrastructureSystems.jl,NREL-SIIP,InfrastructureSystems.jl,Medium (0.3-0.5)
https://github.com/lionsimbatoolbox/LIONSIMBA,0.21618,lionsimbatoolbox/LIONSIMBA,lionsimbatoolbox,LIONSIMBA,Low (0.1-0.3)
https://github.com/JuliaEnergy/Joulia.jl,0.18681,JuliaEnergy/Joulia.jl,JuliaEnergy,Joulia.jl,Low (0.1-0.3)
https://github.com/WISDEM/LandBOSSE,0.37921,WISDEM/LandBOSSE,WISDEM,LandBOSSE,Medium (0.3-0.5)
https://github.com/LibreSolar/bms-firmware,0.31535,LibreSolar/bms-firmware,LibreSolar,bms-firmware,Medium (0.3-0.5)
https://github.com/FZJ-IEK3-VSA/LoadProfileGenerator,0.26601,FZJ-IEK3-VSA/LoadProfileGenerator,FZJ-IEK3-VSA,LoadProfileGenerator,Low (0.1-0.3)
https://github.com/iiasa/message_ix,0.43411,iiasa/message_ix,iiasa,message_ix,Medium (0.3-0.5)
https://github.com/lbl-srg/MPCPy,0.34541,lbl-srg/MPCPy,lbl-srg,MPCPy,Medium (0.3-0.5)
https://github.com/MHKiT-Software/MHKiT-Python,0.39392,MHKiT-Software/MHKiT-Python,MHKiT-Software,MHKiT-Python,Medium (0.3-0.5)
https://github.com/danjulio/MPPT-Solar-Charger,0.25007,danjulio/MPPT-Solar-Charger,danjulio,MPPT-Solar-Charger,Low (0.1-0.3)
https://github.com/ColasGael/Machine-Learning-for-Solar-Energy-Prediction,0.2019,ColasGael/Machine-Learning-for-Solar-Energy-Prediction,ColasGael,Machine-Learning-for-Solar-Energy-Prediction,Low (0.1-0.3)
