repository_name,repository_url,project_name,category,scorecard_aggregate,criticality_score,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities
EnergieID/entsoe-py,https://github.com/EnergieID/entsoe-py,entsoe-py,Other,3.9,0.46402,10.0,0.0,0.0,0.0,3.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0
Energy-Innovation/eps-us,https://github.com/Energy-Innovation/eps-us,Energy Policy Simulator,Other,2.8,0.34368,10.0,0.0,,0.0,0.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Energy-Sparks/energy-sparks,https://github.com/Energy-Sparks/energy-sparks,energy-sparks,Other,6.9,0.39828,10.0,6.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,10.0,0.0,,0.0,9.0
EnergyTransition/ESDL,https://github.com/EnergyTransition/ESDL,ESDL,Other,4.3,0.33283,10.0,0.0,0.0,0.0,0.0,6.0,,10.0,0.0,10.0,5.0,,,0.0,0.0,,,10.0
EnnoidMe/ENNOID-BMS,https://github.com/EnnoidMe/ENNOID-BMS,ENNOID-BMS,Batteries,2.6,0.24796,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Exawind/amr-wind,https://github.com/Exawind/amr-wind,amr-wind,Other,7.0,0.44748,10.0,8.0,10.0,5.0,7.0,10.0,10.0,10.0,0.0,9.0,10.0,,0.0,10.0,0.0,,0.0,10.0
Exawind/nalu-wind,https://github.com/Exawind/nalu-wind,nalu-wind,Other,6.3,,10.0,8.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,9.0,7.0,,0.0,0.0,0.0,,0.0,10.0
FZJ-IEK3-VSA/FINE,https://github.com/FZJ-IEK3-VSA/FINE,FINE,Modeling,4.9,0.37817,10.0,6.0,10.0,0.0,1.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,10.0
FZJ-IEK3-VSA/HIM,https://github.com/FZJ-IEK3-VSA/HIM,HIM,Other,2.6,0.25545,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
FZJ-IEK3-VSA/HiSim,https://github.com/FZJ-IEK3-VSA/HiSim,HiSim,Other,4.9,0.37386,10.0,6.0,10.0,0.0,10.0,3.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0
FZJ-IEK3-VSA/LoadProfileGenerator,https://github.com/FZJ-IEK3-VSA/LoadProfileGenerator,LoadProfileGenerator,Other,3.9,0.26601,10.0,0.0,0.0,0.0,10.0,0.0,,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,,10.0
FZJ-IEK3-VSA/glaes,https://github.com/FZJ-IEK3-VSA/glaes,GLAES,Other,4.0,0.30688,10.0,0.0,,0.0,0.0,3.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0
FZJ-IEK3-VSA/tsam,https://github.com/FZJ-IEK3-VSA/tsam,tsam,Other,3.9,0.40576,10.0,6.0,5.0,0.0,9.0,6.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,3.0
FZJ-IEK3-VSA/tsib,https://github.com/FZJ-IEK3-VSA/tsib,tsib,Other,1.6,0.27226,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,1.0
FZJ-IEK3-VSA/tsib,https://github.com/FZJ-IEK3-VSA/tsib,tsib,Other,1.6,0.27226,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,1.0
FlexiGIS/FlexiGIS,https://github.com/FlexiGIS/FlexiGIS,FlexiGIS,Other,2.2,0.30513,9.0,0.0,0.0,0.0,0.0,6.0,,10.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0
GMLC-TDC/HELICS,https://github.com/GMLC-TDC/HELICS,HELICS,Simulation,6.5,0.44698,10.0,6.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,4.0,,0.0,9.0,10.0,0.0,0.0,10.0
GenXProject/GenX,https://github.com/GenXProject/GenX,GenX,Other,5.6,0.40158,10.0,6.0,8.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0
GridProtectionAlliance/SIEGate,https://github.com/GridProtectionAlliance/SIEGate,SIEGate,Other,3.9,0.34916,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,7.0,10.0,0.0,0.0,10.0
GridProtectionAlliance/gsf,https://github.com/GridProtectionAlliance/gsf,GSF,Other,7.1,0.46527,0.0,8.0,10.0,0.0,4.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,10.0,10.0,,9.0,10.0
GridProtectionAlliance/openHistorian,https://github.com/GridProtectionAlliance/openHistorian,openHistorian,Other,6.3,0.43689,0.0,8.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,10.0,10.0,0.0,9.0,10.0
GridProtectionAlliance/openPDC,https://github.com/GridProtectionAlliance/openPDC,openPDC,Other,5.4,0.42715,0.0,8.0,,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,10.0,10.0,0.0,9.0,10.0
GridProtectionAlliance/openXDA,https://github.com/GridProtectionAlliance/openXDA,openXDA,Other,3.7,0.4291,0.0,8.0,0.0,0.0,3.0,10.0,,0.0,0.0,10.0,10.0,,0.0,0.0,10.0,0.0,,6.0
