repository_name,repository_url,project_name,category,scorecard_aggregate,criticality_score,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities
OSeMOSYS/OSeMOSYS,https://github.com/OSeMOSYS/OSeMOSYS,OSeMOSYS,Modeling,3.9,0.37383,10.0,8.0,0.0,0.0,2.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Open-Power-System-Data/conventional_power_plants,https://github.com/Open-Power-System-Data/conventional_power_plants,conventional power plants,Other,2.9,0.31406,10.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Open-Power-System-Data/renewable_power_plants,https://github.com/Open-Power-System-Data/renewable_power_plants,renewable power plant,Other,3.4,0.31643,10.0,0.0,0.0,0.0,5.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Open-Power-System-Data/renewable_power_plants,https://github.com/Open-Power-System-Data/renewable_power_plants,renewable power plant,Other,3.4,0.31643,10.0,0.0,0.0,0.0,5.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Open-Power-System-Data/time_series,https://github.com/Open-Power-System-Data/time_series,time series,Other,2.9,0.30622,10.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
OpenChargingCloud/WWCP_Core,https://github.com/OpenChargingCloud/WWCP_Core,WWCP_Core,Other,4.1,0.30371,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,10.0,,,0.0,0.0,,,10.0
OpenChargingCloud/WWCP_OCPP,https://github.com/OpenChargingCloud/WWCP_OCPP,WWCP_OCPP,Other,4.9,0.29335,10.0,0.0,10.0,0.0,0.0,10.0,,0.0,0.0,10.0,2.0,,,10.0,10.0,,,10.0
OpenEMS/openems,https://github.com/OpenEMS/openems,OpenEMS,Other,5.0,0.56394,6.0,1.0,8.0,0.0,5.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,8.0
OpenEnergyPlatform/oeplatform,https://github.com/OpenEnergyPlatform/oeplatform,Open Energy Platform,Other,4.8,0.51382,10.0,3.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0
OpenEnergyPlatform/open-MaStR,https://github.com/OpenEnergyPlatform/open-MaStR,open-MaStR,Other,3.9,0.42681,10.0,6.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0
OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,OpenIPSL,Other,4.7,0.39317,10.0,6.0,10.0,0.0,3.0,10.0,10.0,0.0,0.0,10.0,6.0,,0.0,0.0,0.0,,0.0,10.0
OpenLEADR/openleadr-python,https://github.com/OpenLEADR/openleadr-python,OpenLEADR,Interfaces,3.5,0.35338,10.0,0.0,0.0,5.0,2.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
OpenMDAO/OpenMDAO,https://github.com/OpenMDAO/OpenMDAO,OpenMDAO,Other,5.8,0.53705,10.0,6.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,9.0,10.0,10.0,0.0,0.0,0.0,,0.0,10.0
OpenModelica/OpenModelica,https://github.com/OpenModelica/OpenModelica,OpenModelica,Other,4.1,0.59711,8.0,3.0,10.0,0.0,1.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,5.0
PV-Lab/BayesProcess,https://github.com/PV-Lab/BayesProcess,BayesProcess,Other,1.5,0.20528,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0
PV-Lab/autoXRD,https://github.com/PV-Lab/autoXRD,autoXRD,Other,2.4,0.20025,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
PerovskiteSCModelling/IonMonger,https://github.com/PerovskiteSCModelling/IonMonger,IonMonger,Other,3.6,0.21907,10.0,6.0,0.0,0.0,2.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Planheat/Planheat-Tool,https://github.com/Planheat/Planheat-Tool,PLANHEAT Tool,Other,1.6,0.22667,0.0,0.0,,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
PowerGenome/PowerGenome,https://github.com/PowerGenome/PowerGenome,PowerGenome,Other,4.6,0.36686,10.0,1.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,2.0
PyPSA/PyPSA,https://github.com/PyPSA/PyPSA,PyPSA,Simulation,6.4,0.54554,10.0,1.0,10.0,0.0,5.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,10.0
PyPSA/atlite,https://github.com/PyPSA/atlite,Atlite,Other,6.8,0.41998,10.0,6.0,9.0,0.0,7.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,9.0,0.0,,0.0,10.0
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707,10.0,1.0,10.0,0.0,7.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,9.0,0.0,,0.0,0.0
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707,10.0,1.0,10.0,0.0,7.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,9.0,0.0,,0.0,0.0
PyPSA/pypsa-eur-sec,https://github.com/PyPSA/pypsa-eur-sec,PyPSA-Eur-Sec,Other,3.9,0.41552,10.0,3.0,0.0,0.0,5.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
PyPSA/whobs-server,https://github.com/PyPSA/whobs-server,whobs-server,Other,3.0,0.24529,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
RAMP-project/RAMP,https://github.com/RAMP-project/RAMP,RAMP,Other,4.1,0.36282,10.0,1.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,9.0,0.0
RAMP-project/RAMP-mobility,https://github.com/RAMP-project/RAMP-mobility,RAMP-mobility,Other,3.4,0.3028,10.0,6.0,0.0,0.0,1.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
RIAPS/riaps-core,https://github.com/RIAPS/riaps-core,RIAPS,Platform,2.9,0.31086,10.0,6.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,10.0
RWTH-EBC/AixLib,https://github.com/RWTH-EBC/AixLib,AixLib,Other,3.5,0.46212,2.0,6.0,0.0,0.0,8.0,10.0,10.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,,0.0,0.0
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316,10.0,1.0,3.0,0.0,5.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316,10.0,1.0,3.0,0.0,5.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231,10.0,0.0,0.0,0.0,2.0,6.0,,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,,10.0
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231,10.0,0.0,0.0,0.0,2.0,6.0,,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,,10.0
RamiKrispin/UKgrid,https://github.com/RamiKrispin/UKgrid,UKgrid,Other,2.6,0.19412,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,10.0
RamiKrispin/USgrid,https://github.com/RamiKrispin/USgrid,USgrid,Other,2.7,0.19913,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,10.0
RentadroneCL/Photovoltaic_Fault_Detector,https://github.com/RentadroneCL/Photovoltaic_Fault_Detector,Photovoltaic_Fault_Detector,Other,0.7,0.28192,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0
SEED-platform/seed,https://github.com/SEED-platform/seed,SEED,Other,5.4,0.48554,10.0,4.0,10.0,0.0,7.0,10.0,10.0,10.0,0.0,9.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0
SNL-WaterPower/CACTUS,https://github.com/SNL-WaterPower/CACTUS,CACTUS,Other,3.8,0.2838,10.0,3.0,0.0,0.0,6.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
SNL-WaterPower/WecOptTool,https://github.com/SNL-WaterPower/WecOptTool,WecOptTool,Other,2.6,0.23226,10.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,10.0
Samuel-Buteau/universal-battery-database,https://github.com/Samuel-Buteau/universal-battery-database,universal-battery-database,Other,1.9,0.2273,10.0,0.0,0.0,0.0,1.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0
SanPen/ESIOS,https://github.com/SanPen/ESIOS,ESIOS,Other,3.0,0.2441,10.0,0.0,0.0,0.0,3.0,3.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0
SanPen/GridCal,https://github.com/SanPen/GridCal,GridCal,Other,4.4,0.42969,10.0,0.0,,2.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,0.0,4.0,,0.0,0.0
SeitaBV/flexmeasures,https://github.com/SeitaBV/flexmeasures,FlexMeasures,Other,5.9,,10.0,8.0,10.0,0.0,7.0,3.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,7.0,0.0,,0.0,10.0
SmartTensors/GeoThermalCloud.jl,https://github.com/SmartTensors/GeoThermalCloud.jl,GeoThermalCloud.jl,Other,3.3,0.31929,10.0,0.0,,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
SolarArbiter/solarforecastarbiter-core,https://github.com/SolarArbiter/solarforecastarbiter-core,Solar Forecast Arbiter,Other,4.5,0.33311,10.0,6.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0
SolarTherm/SolarTherm,https://github.com/SolarTherm/SolarTherm,SolarTherm,Other,4.1,0.41383,10.0,6.0,0.0,0.0,5.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,9.0
SonyCSL/APIS,https://github.com/SonyCSL/APIS,APIS,Other,2.6,0.23463,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
Spine-project/Spine-Toolbox,https://github.com/Spine-project/Spine-Toolbox,Spine-Toolbox,Other,4.2,0.48252,10.0,3.0,7.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
SunPower/PVMismatch,https://github.com/SunPower/PVMismatch,PVMismatch,Other,2.1,0.36206,10.0,0.0,0.0,0.0,5.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,0.0
SunPower/pvfactors,https://github.com/SunPower/pvfactors,pvfactors,Other,2.8,0.31246,10.0,0.0,0.0,0.0,3.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,9.0
TEB-model/teb,https://github.com/TEB-model/teb,teb,Other,2.2,0.23462,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,0.0
TRI-AMDD/beep,https://github.com/TRI-AMDD/beep,beep,Batteries,4.4,0.41229,10.0,6.0,2.0,0.0,4.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,4.0
TemoaProject/temoa,https://github.com/TemoaProject/temoa,Temoa,Optimization,2.9,0.41455,10.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0
Thales1330/PSP,https://github.com/Thales1330/PSP,PSP-UFU,Other,2.9,0.29507,0.0,0.0,,5.0,0.0,3.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,0.0,8.0
Total-RD/pymgrid,https://github.com/Total-RD/pymgrid,pymgrid,Other,2.9,0.31762,10.0,6.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,2.0
UdK-VPT/BuildingSystems,https://github.com/UdK-VPT/BuildingSystems,BuildingSystems,Other,1.8,0.38062,6.0,3.0,0.0,0.0,1.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0
V2GClarity/RISE-V2G,https://github.com/V2GClarity/RISE-V2G,RISE-V2G,Other,4.1,,8.0,6.0,0.0,0.0,4.0,3.0,,10.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,10.0
VOLTTRON/volttron,https://github.com/VOLTTRON/volttron,VOLTTRON,Other,4.4,0.50339,10.0,0.0,10.0,0.0,7.0,10.0,10.0,10.0,0.0,9.0,0.0,,0.0,7.0,0.0,,0.0,0.0
VUB-HYDR/REVUB,https://github.com/VUB-HYDR/REVUB,REVUB,Other,2.8,,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,10.0,1.0,,,0.0,0.0,,,10.0
WEC-Sim/WEC-Sim,https://github.com/WEC-Sim/WEC-Sim,WEC-Sim,Other,5.1,0.48487,10.0,3.0,9.0,0.0,7.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0
WISDEM/AirfoilPreppy,https://github.com/WISDEM/AirfoilPreppy,AirfoilPreppy,Other,2.9,0.31609,10.0,0.0,0.0,0.0,1.0,10.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,10.0
WISDEM/LandBOSSE,https://github.com/WISDEM/LandBOSSE,LandBOSSE,Other,3.8,0.37921,10.0,0.0,5.0,0.0,1.0,10.0,10.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,,0.0,10.0
WISDEM/ORBIT,https://github.com/WISDEM/ORBIT,ORBIT,Other,5.0,0.38519,10.0,6.0,10.0,0.0,4.0,10.0,10.0,0.0,0.0,10.0,5.0,10.0,0.0,0.0,0.0,,0.0,10.0
WISDEM/WEIS,https://github.com/WISDEM/WEIS,WEIS,Other,4.1,0.48193,10.0,0.0,8.0,0.0,8.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,0.0
WMD-group/CarrierCapture.jl,https://github.com/WMD-group/CarrierCapture.jl,CarrierCapture.jl,Other,3.5,0.37845,10.0,0.0,,0.0,0.0,10.0,10.0,0.0,0.0,10.0,2.0,,0.0,0.0,0.0,,0.0,10.0
YingyiLiu/HAMS,https://github.com/YingyiLiu/HAMS,HAMS,Other,2.8,0.30651,2.0,0.0,0.0,0.0,2.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
YoungFaithful/CapacityExpansion.jl,https://github.com/YoungFaithful/CapacityExpansion.jl,CapacityExpansion.jl,Other,3.1,0.32993,10.0,0.0,0.0,0.0,5.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
adamgreenhall/minpower,https://github.com/adamgreenhall/minpower,minpower,Optimization,2.1,0.25029,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,10.0
alliander-opensource/openstf,https://github.com/alliander-opensource/openstf,Openstf,Forecasting,4.4,0.46006,10.0,6.0,10.0,0.0,5.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0
aqreed/solarpy,https://github.com/aqreed/solarpy,solarpy,Other,2.7,0.21613,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
architecture-building-systems/RC_BuildingSimulator,https://github.com/architecture-building-systems/RC_BuildingSimulator,RC_BuildingSimulator,Other,2.4,0.30922,10.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,0.0
arnolddevos/CIMTool,https://github.com/arnolddevos/CIMTool,CIMTool,Modeling,1.5,0.19203,0.0,0.0,0.0,0.0,1.0,10.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,10.0
audunarn/ANYstructure,https://github.com/audunarn/ANYstructure,ANYstructure,Other,1.4,0.33231,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,0.0
awebox/awebox,https://github.com/awebox/awebox,awebox,Other,4.3,0.34936,10.0,3.0,0.0,0.0,0.0,6.0,10.0,10.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,1.0
balmorelcommunity/Balmorel,https://github.com/balmorelcommunity/Balmorel,Balmorel,Modeling,4.7,0.32486,10.0,1.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,9.0,4.0,,0.0,0.0,0.0,,0.0,10.0
battery-lcf/battery-archive-sandbox,https://github.com/battery-lcf/battery-archive-sandbox,Battery Lifecycle (BLC) Framework,Batteries,2.6,0.18989,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
batterysim/equiv-circ-model,https://github.com/batterysim/equiv-circ-model,equiv-circ-model,Other,1.9,0.2303,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0
beanit/iec61850bean,https://github.com/beanit/iec61850bean,IEC61850bean,Other,2.7,0.30237,9.0,0.0,0.0,0.0,1.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
bje-/NEMO,https://github.com/bje-/NEMO,NEMO,Optimization,3.1,0.2631,10.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,0.0
blue-marble/gridpath,https://github.com/blue-marble/gridpath,GridPath,Other,5.1,0.38059,10.0,6.0,10.0,0.0,3.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0
brightwind-dev/brightwind,https://github.com/brightwind-dev/brightwind,brightwind,Other,4.0,0.36942,10.0,6.0,0.0,0.0,6.0,3.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,0.0
buds-lab/building-data-genome-project-2,https://github.com/buds-lab/building-data-genome-project-2,The Building Data Genome 2 Data-Set,Other,3.6,0.24686,10.0,6.0,,0.0,0.0,10.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,10.0
calliope-project/calliope,https://github.com/calliope-project/calliope,Calliope,Modeling,4.8,0.42095,10.0,1.0,9.0,0.0,9.0,10.0,0.0,10.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0
calliope-project/euro-calliope,https://github.com/calliope-project/euro-calliope,Euro-Calliope,Other,4.5,0.34176,10.0,6.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
catalyst-cooperative/pudl,https://github.com/catalyst-cooperative/pudl,The Public Utility Data Liberation Project,Other,6.3,0.4815,10.0,8.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
chargeprice/open-ev-data,https://github.com/chargeprice/open-ev-data,open-ev-data,Other,3.2,0.28179,10.0,3.0,0.0,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
cim-iec/CIMverter,https://github.com/cim-iec/CIMverter,CIMverter,Other,3.1,0.24362,10.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
com-pas/compas-core,https://github.com/com-pas/compas-core,CoMPAS,Other,5.5,0.37052,10.0,8.0,3.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,3.0,10.0,,0.0,10.0
cuihantao/andes,https://github.com/cuihantao/andes,ANDES,Other,3.3,0.45664,10.0,0.0,,0.0,0.0,10.0,10.0,10.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,0.0
danielePala/CIMDraw,https://github.com/danielePala/CIMDraw,CIMdraw,Modeling,2.6,0.22204,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
danieljfarrell/pvtrace,https://github.com/danieljfarrell/pvtrace,pvtrace,Other,3.2,0.29143,10.0,0.0,0.0,0.0,0.0,3.0,10.0,10.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,2.0
danjulio/MPPT-Solar-Charger,https://github.com/danjulio/MPPT-Solar-Charger,MPPT-Solar-Charger,Other,1.2,0.25007,0.0,0.0,,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,10.0
davidhowey/SLIDE,https://github.com/davidhowey/SLIDE,SLIDE,Other,3.0,0.22845,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0
dazhiyang/SolarData,https://github.com/dazhiyang/SolarData,SolarData,Other,2.2,0.19786,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,10.0
e2nIEE/pandapipes,https://github.com/e2nIEE/pandapipes,pandapipes,Other,5.5,0.44358,10.0,8.0,10.0,0.0,6.0,10.0,10.0,0.0,0.0,9.0,10.0,,2.0,0.0,0.0,,0.0,10.0
e2nIEE/pandapower,https://github.com/e2nIEE/pandapower,pandapower,Other,6.4,0.55512,10.0,8.0,4.0,0.0,10.0,10.0,10.0,0.0,0.0,9.0,10.0,10.0,2.0,10.0,0.0,,0.0,10.0
e2nIEE/pandapower,https://github.com/e2nIEE/pandapower,pandapower,Other,6.4,0.55512,10.0,8.0,4.0,0.0,10.0,10.0,10.0,0.0,0.0,9.0,10.0,10.0,2.0,10.0,0.0,,0.0,10.0
e2nIEE/simbench,https://github.com/e2nIEE/simbench,SimBench,Other,3.5,0.29066,10.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,10.0
ecmwf-projects/thermofeel,https://github.com/ecmwf-projects/thermofeel,Thermofeel,Other,2.9,0.30475,10.0,3.0,6.0,0.0,1.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0
emma-model/EMMA,https://github.com/emma-model/EMMA,The Electricity Market Model EMMA,Other,1.4,0.1966,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,0.0
emoncms/emoncms,https://github.com/emoncms/emoncms,Emoncms,Other,4.8,0.53168,10.0,1.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,10.0,,0.0,10.0
energy-modelling-toolkit/Dispa-SET,https://github.com/energy-modelling-toolkit/Dispa-SET,Dispa-SET,Other,3.7,0.37889,10.0,1.0,,0.0,0.0,10.0,10.0,10.0,0.0,10.0,1.0,,0.0,0.0,0.0,,0.0,2.0
energyPATHWAYS/energyPATHWAYS,https://github.com/energyPATHWAYS/energyPATHWAYS,EnergyPATHWAYS,Modeling,2.8,0.31829,10.0,0.0,,0.0,0.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
energywebfoundation/origin,https://github.com/energywebfoundation/origin,origin,Other,4.5,0.42453,10.0,6.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0
flexiblepower/fpai-core,https://github.com/flexiblepower/fpai-core,EF-Pi,Platform,2.6,0.30546,9.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,10.0
flexiblepower/powermatcher,https://github.com/flexiblepower/powermatcher,PowerMatcher,Other,2.7,0.37171,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,10.0
foxBMS/foxbms-2,https://github.com/foxBMS/foxbms-2,foxBMS 2,Batteries,2.2,0.23852,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,9.0,1.0,,,0.0,0.0,,,5.0
fraukewiese/renpass,https://github.com/fraukewiese/renpass,renpass,Simulation,2.7,0.16419,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
frkunz/stELMOD,https://github.com/frkunz/stELMOD,stELMOD,Optimization,2.7,0.20922,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
greco-project/pvcompare,https://github.com/greco-project/pvcompare,pvcompare,Other,4.6,0.33738,9.0,8.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
gridsingularity/gsy-e,https://github.com/gridsingularity/gsy-e,Grid Singularity Energy Exchange Engine (D3A),Other,4.8,0.43945,10.0,8.0,10.0,0.0,8.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,0.0
gsoh/VED,https://github.com/gsoh/VED,Vehicle Energy Dataset,Other,2.6,0.18853,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
gurbyz/power-wheel-card,https://github.com/gurbyz/power-wheel-card,power-wheel-card,Other,2.5,0.2535,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
holgerteichgraeber/TimeSeriesClustering.jl,https://github.com/holgerteichgraeber/TimeSeriesClustering.jl,TimeSeriesClustering,Other,3.9,0.33723,10.0,6.0,0.0,0.0,5.0,3.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
hongyuanjia/eplusr,https://github.com/hongyuanjia/eplusr,eplusr,Other,3.1,0.27991,10.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,10.0
hubblo-org/scaphandre,https://github.com/hubblo-org/scaphandre,Scaphandre,Monitoring,3.6,0.41154,10.0,0.0,3.0,0.0,3.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro-python/hydropowerlib,https://github.com/hydro-python/hydropowerlib,hydropowerlib,Other,3.0,0.23642,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
hyphae/APIS,https://github.com/hyphae/APIS,Hyphae,Other,6.0,0.32491,10.0,5.0,0.0,2.0,6.0,6.0,10.0,0.0,0.0,10.0,8.0,,8.0,0.0,0.0,,10.0,10.0
iat-cener/tonatiuh,https://github.com/iat-cener/tonatiuh,Tonatiuh,Other,2.5,0.30869,10.0,0.0,,0.0,0.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,0.0,,10.0
